latitude,longitude,elevation,time
53.058418,22.816737,114.6,
53.056118,22.820532,114.9,
53.055919,22.821091,116.9,
53.054148,22.827403,123.1,
53.052855,22.832135,119.7,
53.052571,22.832749,121.1,
53.051281,22.835144,125.6,
53.0494,22.838036,126.3,
53.049006,22.838439,127.4,
53.048486,22.838762,128.6,
53.047954,22.839039,129.5,
53.047477,22.839118,130.1,
53.039321,22.838561,136.9,
53.038355,22.83845,139.8,
53.030852,22.837985,140.1,
53.029009,22.837372,126.1,
53.017998,22.833066,137.6,
53.005822,22.828437,120.2,
53.005365,22.82824,120.0,
53.005165,22.828033,120.0,
53.005069,22.827629,120.0,
53.004874,22.827674,120.2,
53.004246,22.827677,121.3,
53.002529,22.827163,120.0,
53.002052,22.827264,121.3,
53.001821,22.827542,122.4,
53.000485,22.830126,125.0,
52.999294,22.833045,120.5,
52.997703,22.835783,122.9,
52.997489,22.836514,122.2,
52.996735,22.838236,119.1,
52.98825,22.856822,118.0,
52.986837,22.860352,117.4,
52.986676,22.860481,118.0,
52.986403,22.861047,118.1,
52.984303,22.865728,120.8,
52.984181,22.866181,120.5,
52.984152,22.866426,120.3,
52.984152,22.866784,120.0,
52.984313,22.867474,120.0,
52.986849,22.875626,118.2,
52.990442,22.882869,119.5,
52.990681,22.88295,119.8,
52.990879,22.883632,120.1,
52.994239,22.889412,119.5,
52.994385,22.889794,118.7,
52.994375,22.890271,118.5,
52.993975,22.890914,119.2,
52.993498,22.891362,119.4,
52.992753,22.891404,119.7,
52.992417,22.891626,120.2,
52.989124,22.892106,126.4,
52.9854,22.892763,122.3,
52.983835,22.893664,125.0,
52.979355,22.894569,130.3,
52.979368,22.894521,130.3,
52.978046,22.895105,130.6,
52.977293,22.895365,128.1,
52.976996,22.895388,129.5,
52.976794,22.895352,129.4,
52.976531,22.89523,129.6,
52.976237,22.895044,129.9,
52.974571,22.893819,127.1,
52.972759,22.892667,121.9,
52.971277,22.892124,123.0,
52.968551,22.891426,124.3,
52.966371,22.889038,128.6,
52.965609,22.888863,129.3,
52.965117,22.889087,129.8,
52.964691,22.88951,130.0,
52.961787,22.8935,121.7,
52.961329,22.893993,120.6,
52.960823,22.894296,119.7,
52.960086,22.894587,120.8,
52.960088,22.894675,120.6,
52.959509,22.894872,122.4,
52.959211,22.895006,123.8,
52.959023,22.895218,123.8,
52.958901,22.895587,123.7,
52.95836,22.89929,125.2,
52.958053,22.900648,125.8,
52.958239,22.9001,125.8,
52.958188,22.900087,125.8,
52.957994,22.900765,125.8,
52.956489,22.906611,138.8,
52.956414,22.907185,137.8,
52.95599,22.914169,130.9,
52.955926,22.914022,131.5,
52.954967,22.926712,127.9,
52.954484,22.932223,123.2,
52.954281,22.932971,124.3,
52.954039,22.933537,124.7,
52.949772,22.941786,117.4,
52.949189,22.942701,120.2,
52.949073,22.942656,120.4,
52.947817,22.942832,124.9,
52.947456,22.942949,126.6,
52.946539,22.943498,130.1,
52.943886,22.945105,130.3,
52.943004,22.944933,130.1,
52.942936,22.945115,129.7,
52.942944,22.945173,129.6,
52.943035,22.945305,129.3,
52.943195,22.94519,129.5,
52.943212,22.945364,129.1,
